                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82904,                 2.4701,                 1.1696,                0.29824,                0.50242,                0.40983,                0.32303,                0.77597,                 2.1045,                 1.1567,             0.00017454,             0.00017454,             0.00017454
                      2,                0.78624,                 1.6998,                 1.1138,                 0.4674,                0.55805,                0.49283,                0.36103,                0.92611,                 1.9751,                   1.27,             0.00033833,             0.00033833,             0.00033833
                      3,                0.78775,                 1.4939,                 1.1115,                0.56564,                0.55341,                0.60892,                 0.4908,                0.78866,                 1.3992,                 1.1297,             0.00049054,             0.00049054,             0.00049054
                      4,                0.76018,                 1.3568,                 1.1026,                  0.685,                0.67217,                0.71862,                0.57908,                0.81362,                 1.0682,                 1.1566,             0.00047393,             0.00047393,             0.00047393
                      5,                0.74346,                 1.2229,                 1.0918,                0.68081,                0.69588,                0.76284,                0.62733,                0.73792,                0.91573,                 1.0841,             0.00045657,             0.00045657,             0.00045657
                      6,                0.71252,                  1.124,                 1.0768,                 0.8557,                0.74648,                0.83151,                0.69154,                0.69573,                0.75402,                 1.0674,             0.00043921,             0.00043921,             0.00043921
                      7,                0.68972,                 1.0472,                 1.0674,                0.81385,                0.78303,                0.84737,                0.70793,                0.68087,                0.67053,                 1.0566,             0.00042185,             0.00042185,             0.00042185
                      8,                0.66133,                0.96776,                 1.0411,                0.88708,                0.76264,                0.85226,                0.71088,                0.66461,                0.60853,                 1.0249,             0.00040449,             0.00040449,             0.00040449
                      9,                0.64357,                0.91998,                 1.0315,                0.88304,                0.81404,                0.88896,                0.75034,                0.64756,                0.58647,                 1.0299,             0.00038714,             0.00038714,             0.00038714
                     10,                0.65628,                 0.8986,                 1.0377,                0.90318,                0.83038,                0.90566,                0.75838,                0.67338,                0.51832,                 1.0365,             0.00036978,             0.00036978,             0.00036978
                     11,                0.64532,                0.84386,                 1.0303,                0.88923,                 0.8491,                0.90754,                0.77158,                0.62802,                0.49238,                 1.0064,             0.00035242,             0.00035242,             0.00035242
                     12,                0.62208,                 0.8016,                 1.0208,                0.92392,                0.85373,                 0.9299,                0.77343,                0.67111,                0.49167,                 1.0375,             0.00033506,             0.00033506,             0.00033506
                     13,                0.61516,                0.77805,                  1.015,                 0.9308,                0.87234,                0.92899,                0.79123,                0.62273,                0.46911,                0.99696,              0.0003177,              0.0003177,              0.0003177
                     14,                0.60142,                0.74458,                 1.0103,                0.94565,                0.85509,                 0.9406,                0.79629,                0.61845,                0.43653,                0.99446,             0.00030035,             0.00030035,             0.00030035
                     15,                0.59025,                 0.7105,                 1.0087,                 0.8758,                0.86081,                0.91702,                0.78298,                0.59939,                0.45708,                0.98726,             0.00028299,             0.00028299,             0.00028299
                     16,                0.59025,                0.71016,                 1.0038,                0.95053,                 0.8588,                0.93969,                0.79801,                0.63002,                0.42176,                  1.017,             0.00026563,             0.00026563,             0.00026563
                     17,                0.57995,                0.67055,                 1.0017,                0.94337,                0.85877,                0.94323,                0.80535,                0.59865,                0.41476,                0.98269,             0.00024827,             0.00024827,             0.00024827
                     18,                0.57319,                0.66722,                0.99639,                0.94645,                0.87676,                0.94685,                0.80782,                0.59238,                0.39779,                0.98657,             0.00023091,             0.00023091,             0.00023091
                     19,                   0.57,                0.65362,                0.99298,                0.95433,                0.88366,                0.95028,                0.81098,                0.59373,                0.37359,                0.98461,             0.00021356,             0.00021356,             0.00021356
                     20,                0.56791,                0.62847,                0.99165,                0.94582,                0.89627,                0.95059,                0.80901,                0.59951,                0.37937,                0.99027,              0.0001962,              0.0001962,              0.0001962
                     21,                0.55958,                0.39717,                0.96924,                0.94649,                0.87837,                0.94514,                 0.8081,                0.59208,                0.37679,                 0.9696,             0.00017884,             0.00017884,             0.00017884
                     22,                0.54681,                0.37048,                0.95328,                0.95683,                0.90161,                0.95875,                 0.8233,                0.58769,                0.35395,                0.97377,             0.00016148,             0.00016148,             0.00016148
                     23,                0.53775,                0.36903,                0.95399,                 0.9323,                0.90933,                0.96025,                0.82347,                0.58266,                0.36916,                0.96967,             0.00014412,             0.00014412,             0.00014412
                     24,                0.53147,                0.34248,                 0.9446,                0.95274,                0.89813,                0.95672,                0.82311,                0.57642,                0.35052,                0.96535,             0.00012677,             0.00012677,             0.00012677
                     25,                0.52715,                0.33601,                0.93937,                 0.9459,                0.90096,                 0.9552,                0.82368,                0.57677,                0.33369,                0.96477,             0.00010941,             0.00010941,             0.00010941
                     26,                0.51229,                0.32238,                0.94032,                0.96056,                0.92851,                0.96847,                0.83121,                0.57954,                0.32118,                0.96933,              9.205e-05,              9.205e-05,              9.205e-05
                     27,                0.50801,                0.31182,                0.93299,                0.96341,                 0.9254,                0.96852,                0.83876,                0.56394,                0.31318,                0.96345,             7.4692e-05,             7.4692e-05,             7.4692e-05
                     28,                0.49496,                0.29646,                 0.9277,                0.95225,                0.92481,                0.96564,                0.83492,                0.56981,                0.31308,                0.96528,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     29,                0.48748,                0.29043,                0.92756,                0.96301,                0.92985,                 0.9692,                0.84046,                0.56158,                0.30501,                0.96211,             3.9976e-05,             3.9976e-05,             3.9976e-05
                     30,                0.47498,                0.27649,                0.91608,                0.95928,                0.92916,                0.96829,                 0.8453,                0.55743,                0.29701,                0.95917,             2.2618e-05,             2.2618e-05,             2.2618e-05
